,Method,YY_MM,Quantity of Units Issued,Quantity of Units,Rolling_Issuance,Rolling_Retirement,Balance,Retirement_Ratio
0,AFOLU Other,15_05,7616.0,0.0,7616.0,0.0,7616.0,0.0
1,AFOLU Other,23_01,316781.0,0.0,324397.0,0.0,324397.0,0.0
2,AFOLU Other,23_02,0.0,100.0,324397.0,100.0,324297.0,0.0003082642564512002
3,ALM,14_02,21565.0,0.0,21565.0,0.0,21565.0,0.0
4,ALM,17_06,143905.0,0.0,165470.0,0.0,165470.0,0.0
5,ALM,19_01,160355.0,0.0,325825.0,0.0,325825.0,0.0
6,ALM,19_02,0.0,667.0,325825.0,667.0,325158.0,0.0020471111793140487
7,ALM,19_03,0.0,48878.0,325825.0,49545.0,276280.0,0.15206015499117626
8,ALM,19_10,0.0,31.0,325825.0,49576.0,276249.0,0.1521552980894652
9,ALM,19_11,0.0,6926.0,325825.0,56502.0,269323.0,0.1734121077265403
10,ALM,19_12,0.0,881.0,325825.0,57383.0,268442.0,0.17611601319726847
11,ALM,20_01,0.0,9997.0,325825.0,67380.0,258445.0,0.20679812782935625
12,ALM,20_02,0.0,2470.0,325825.0,69850.0,255975.0,0.21437888437044425
13,ALM,20_03,0.0,9099.0,325825.0,78949.0,246876.0,0.2423049182843551
14,ALM,20_06,0.0,31543.0,325825.0,110492.0,215333.0,0.3391145553594721
15,ALM,20_07,0.0,1098.0,325825.0,111590.0,214235.0,0.34248446251822295
16,ALM,20_11,0.0,5068.0,325825.0,116658.0,209167.0,0.3580388245223663
17,ALM,21_02,0.0,237.0,325825.0,116895.0,208930.0,0.3587662088544464
18,ALM,21_04,0.0,4053.0,325825.0,120948.0,204877.0,0.37120540167267707
19,ALM,21_05,12795.0,14190.0,338620.0,135138.0,203482.0,0.39908451952040636
20,ALM,21_06,547260.0,70639.0,885880.0,205777.0,680103.0,0.2322854111166298
21,ALM,21_07,511700.0,152758.0,1397580.0,358535.0,1039045.0,0.25653987607149503
22,ALM,21_11,180000.0,3384.0,1577580.0,361919.0,1215661.0,0.2294140392246352
23,ALM,21_12,1527285.0,167051.0,3104865.0,528970.0,2575895.0,0.1703681158440061
24,ALM,22_01,1151539.0,48479.0,4256404.0,577449.0,3678955.0,0.135665928328232
25,ALM,22_02,0.0,1342.0,4256404.0,578791.0,3677613.0,0.13598121794829626
26,ALM,22_03,0.0,86640.0,4256404.0,665431.0,3590973.0,0.15633642859089503
27,ALM,22_04,900000.0,4000.0,5156404.0,669431.0,4486973.0,0.12982516497931504
28,ALM,22_05,0.0,25002.0,5156404.0,694433.0,4461971.0,0.13467389289124745
29,ALM,22_06,0.0,116466.0,5156404.0,810899.0,4345505.0,0.15726056375722305
30,ALM,22_07,480000.0,59871.0,5636404.0,870770.0,4765634.0,0.15449034526268876
31,ALM,22_08,0.0,357.0,5636404.0,871127.0,4765277.0,0.15455368351878254
32,ALM,22_09,300000.0,0.0,5936404.0,871127.0,5065277.0,0.1467432135683488
33,ALM,22_10,420000.0,0.0,6356404.0,871127.0,5485277.0,0.13704714174869942
34,ALM,22_11,3478517.0,0.0,9834921.0,871127.0,8963794.0,0.08857488534986707
35,ALM,22_12,791978.0,570688.0,10626899.0,1441815.0,9185084.0,0.13567598600494837
36,ALM,23_01,1171403.0,113201.0,11798302.0,1555016.0,10243286.0,0.1317999827432795
37,ALM,23_02,205000.0,21645.0,12003302.0,1576661.0,10426641.0,0.1313522728995738
38,ALM,23_03,0.0,31965.0,12003302.0,1608626.0,10394676.0,0.13401529012600033
39,ARR,10_09,139358.0,62599.0,139358.0,62599.0,76759.0,0.44919559695173583
40,ARR,10_10,0.0,1000.0,139358.0,63599.0,75759.0,0.45637136009414603
41,ARR,11_04,10742.0,10742.0,150100.0,74341.0,75759.0,0.49527648234510324
42,ARR,11_07,64501.0,0.0,214601.0,74341.0,140260.0,0.34641497476712596
43,ARR,11_08,185901.0,60000.0,400502.0,134341.0,266161.0,0.33543153342555093
44,ARR,11_09,372381.0,2000.0,772883.0,136341.0,636542.0,0.1764057431719937
45,ARR,11_10,0.0,6.0,772883.0,136347.0,636536.0,0.17641350631337474
46,ARR,11_11,0.0,15.0,772883.0,136362.0,636521.0,0.17643291416682733
47,ARR,11_12,61772.0,5333.0,834655.0,141695.0,692960.0,0.1697647531015809
48,ARR,12_01,0.0,8512.0,834655.0,150207.0,684448.0,0.1799629787157568
49,ARR,12_02,0.0,2000.0,834655.0,152207.0,682448.0,0.18235917834314777
50,ARR,12_03,44000.0,30764.0,878655.0,182971.0,695684.0,0.20823986661431393
51,ARR,12_04,5000.0,11819.0,883655.0,194790.0,688865.0,0.22043670889657163
52,ARR,12_05,115306.0,50552.0,998961.0,245342.0,753619.0,0.24559717546530846
53,ARR,12_06,14002.0,0.0,1012963.0,245342.0,767621.0,0.24220233118090198
54,ARR,12_07,11619.0,0.0,1024582.0,245342.0,779240.0,0.23945569998301747
55,ARR,12_08,0.0,21942.0,1024582.0,267284.0,757298.0,0.2608712626222206
56,ARR,12_09,0.0,2678.0,1024582.0,269962.0,754620.0,0.2634850114485712
57,ARR,12_10,169784.0,33302.0,1194366.0,303264.0,891102.0,0.25391211739115144
58,ARR,12_11,0.0,14157.0,1194366.0,317421.0,876945.0,0.2657652679329452
59,ARR,12_12,0.0,22526.0,1194366.0,339947.0,854419.0,0.28462548331081094
60,ARR,13_01,753.0,51622.0,1195119.0,391569.0,803550.0,0.3276401764175785
61,ARR,13_02,0.0,10282.0,1195119.0,401851.0,793268.0,0.33624350378497875
62,ARR,13_03,159461.0,67188.0,1354580.0,469039.0,885541.0,0.3462615718525299
63,ARR,13_04,75005.0,44124.0,1429585.0,513163.0,916422.0,0.3589594182927213
64,ARR,13_05,13000.0,15814.0,1442585.0,528977.0,913608.0,0.36668688500157703
65,ARR,13_06,0.0,7429.0,1442585.0,536406.0,906179.0,0.3718366682032601
66,ARR,13_07,22790.0,73526.0,1465375.0,609932.0,855443.0,0.4162292928431289
67,ARR,13_08,31006.0,201.0,1496381.0,610133.0,886248.0,0.4077390718005642
68,ARR,13_09,0.0,45496.0,1496381.0,655629.0,840752.0,0.4381430932362814
69,ARR,13_10,100000.0,55.0,1596381.0,655684.0,940697.0,0.4107315233644099
70,ARR,13_11,1400000.0,128363.0,2996381.0,784047.0,2212334.0,0.26166465479523465
71,ARR,13_12,500690.0,25241.0,3497071.0,809288.0,2687783.0,0.23141880733905604
72,ARR,14_01,0.0,1801087.0,3497071.0,2610375.0,886696.0,0.7464460973197284
73,ARR,14_02,0.0,51136.0,3497071.0,2661511.0,835560.0,0.7610686199965628
74,ARR,14_03,51120.0,11306.0,3548191.0,2672817.0,875374.0,0.7532900568205038
75,ARR,14_04,0.0,30646.0,3548191.0,2703463.0,844728.0,0.7619271341368038
76,ARR,14_05,0.0,10531.0,3548191.0,2713994.0,834197.0,0.7648951254315227
77,ARR,14_06,480.0,87946.0,3548671.0,2801940.0,746731.0,0.7895744632286285
78,ARR,14_07,64738.0,64932.0,3613409.0,2866872.0,746537.0,0.7933981456292382
79,ARR,14_08,34156.0,4221.0,3647565.0,2871093.0,776472.0,0.7871259319573469
80,ARR,14_09,113998.0,395.0,3761563.0,2871488.0,890075.0,0.7633762879951764
81,ARR,14_10,161631.0,20227.0,3923194.0,2891715.0,1031479.0,0.7370818266952897
82,ARR,14_11,0.0,6725.0,3923194.0,2898440.0,1024754.0,0.7387959912255168
83,ARR,14_12,475409.0,21369.0,4398603.0,2919809.0,1478794.0,0.6638037122240857
84,ARR,15_01,6500.0,209386.0,4405103.0,3129195.0,1275908.0,0.7103568293408803
85,ARR,15_02,48333.0,49742.0,4453436.0,3178937.0,1274499.0,0.7138167024293153
86,ARR,15_03,335134.0,586760.0,4788570.0,3765697.0,1022873.0,0.7863928062031045
87,ARR,15_04,110447.0,54976.0,4899017.0,3820673.0,1078344.0,0.7798856382821289
88,ARR,15_05,0.0,30775.0,4899017.0,3851448.0,1047569.0,0.7861675107475643
89,ARR,15_06,99915.0,54851.0,4998932.0,3906299.0,1092633.0,0.7814267127458425
90,ARR,15_07,3181.0,78492.0,5002113.0,3984791.0,1017322.0,0.7966215477339277
91,ARR,15_08,0.0,609.0,5002113.0,3985400.0,1016713.0,0.7967432962829908
92,ARR,15_09,75081.0,13317.0,5077194.0,3998717.0,1078477.0,0.787584047408864
93,ARR,15_10,30608.0,14639.0,5107802.0,4013356.0,1094446.0,0.7857305353653098
94,ARR,15_11,0.0,21941.0,5107802.0,4035297.0,1072505.0,0.7900261208245739
95,ARR,15_12,1547900.0,27804.0,6655702.0,4063101.0,2592601.0,0.6104691886746131
96,ARR,16_01,155391.0,12330.0,6811093.0,4075431.0,2735662.0,0.598351982567262
97,ARR,16_02,10000.0,28235.0,6821093.0,4103666.0,2717427.0,0.6016141401385379
98,ARR,16_03,5959.0,635702.0,6827052.0,4739368.0,2087684.0,0.6942041748034145
99,ARR,16_04,31000.0,2759.0,6858052.0,4742127.0,2115925.0,0.6914685103000094
100,ARR,16_05,53125.0,15554.0,6911177.0,4757681.0,2153496.0,0.6884038710048954
101,ARR,16_06,7638.0,30979.0,6918815.0,4788660.0,2130155.0,0.6921214109641608
102,ARR,16_07,34295.0,64260.0,6953110.0,4852920.0,2100190.0,0.6979495506327384
103,ARR,16_08,30000.0,2560.0,6983110.0,4855480.0,2127630.0,0.6953177022845122
104,ARR,16_09,56100.0,5900.0,7039210.0,4861380.0,2177830.0,0.6906144297442469
105,ARR,16_10,1000.0,19387.0,7040210.0,4880767.0,2159443.0,0.6932700871138787
106,ARR,16_11,95591.0,35176.0,7135801.0,4915943.0,2219858.0,0.6889125691705809
107,ARR,16_12,145853.0,95265.0,7281654.0,5011208.0,2270446.0,0.6881963905453349
108,ARR,17_01,55000.0,11087.0,7336654.0,5022295.0,2314359.0,0.6845484331140599
109,ARR,17_02,26207.0,66094.0,7362861.0,5088389.0,2274472.0,0.6910885591891521
110,ARR,17_03,19000.0,51717.0,7381861.0,5140106.0,2241755.0,0.6963157393508222
111,ARR,17_04,136889.0,101317.0,7518750.0,5241423.0,2277327.0,0.6971136159600998
112,ARR,17_05,51650.0,53618.0,7570400.0,5295041.0,2275359.0,0.6994400560076086
113,ARR,17_06,306897.0,109977.0,7877297.0,5405018.0,2472279.0,0.68615135369404
114,ARR,17_07,121872.0,17162.0,7999169.0,5422180.0,2576989.0,0.6778429109323731
115,ARR,17_08,118700.0,701879.0,8117869.0,6124059.0,1993810.0,0.7543924396907612
116,ARR,17_09,2984000.0,16690.0,11101869.0,6140749.0,4961120.0,0.5531274959198311
117,ARR,17_10,236841.0,514216.0,11338710.0,6654965.0,4683745.0,0.586924350300872
118,ARR,17_11,20000.0,163283.0,11358710.0,6818248.0,4540462.0,0.6002660513385762
119,ARR,17_12,638802.0,264230.0,11997512.0,7082478.0,4915034.0,0.5903288948575338
120,ARR,18_01,1000.0,116747.0,11998512.0,7199225.0,4799287.0,0.6000098178840843
121,ARR,18_02,161093.0,272163.0,12159605.0,7471388.0,4688217.0,0.6144433145649056
122,ARR,18_03,160000.0,189317.0,12319605.0,7660705.0,4658900.0,0.6218304077119355
123,ARR,18_04,17849.0,160758.0,12337454.0,7821463.0,4515991.0,0.6339608642107196
124,ARR,18_05,0.0,219304.0,12337454.0,8040767.0,4296687.0,0.6517363306886493
125,ARR,18_06,370000.0,163605.0,12707454.0,8204372.0,4503082.0,0.6456346015496102
126,ARR,18_07,149480.0,89866.0,12856934.0,8294238.0,4562696.0,0.645117879581555
127,ARR,18_08,3103821.0,232454.0,15960755.0,8526692.0,7434063.0,0.5342286126188893
128,ARR,18_09,36365.0,101791.0,15997120.0,8628483.0,7368637.0,0.5393772754095737
129,ARR,18_10,725562.0,50926.0,16722682.0,8679409.0,8043273.0,0.5190201547813921
130,ARR,18_11,2184663.0,37482.0,18907345.0,8716891.0,10190454.0,0.46103199576672454
131,ARR,18_12,5185477.0,490440.0,24092822.0,9207331.0,14885491.0,0.3821607531072948
132,ARR,19_01,10900338.0,451222.0,34993160.0,9658553.0,25334607.0,0.2760125978905592
133,ARR,19_02,13015.0,56696.0,35006175.0,9715249.0,25290926.0,0.27752957871004186
134,ARR,19_03,65872.0,138228.0,35072047.0,9853477.0,25218570.0,0.2809495835814773
135,ARR,19_04,200612.0,144370.0,35272659.0,9997847.0,25274812.0,0.2834446646055235
136,ARR,19_05,346406.0,397661.0,35619065.0,10395508.0,25223557.0,0.29185235491161826
137,ARR,19_06,184970.0,505693.0,35804035.0,10901201.0,24902834.0,0.3044685047369661
138,ARR,19_07,31860.0,164474.0,35835895.0,11065675.0,24770220.0,0.30878746017087055
139,ARR,19_08,49746.0,186879.0,35885641.0,11252554.0,24633087.0,0.3135670336778992
140,ARR,19_09,1507861.0,143043.0,37393502.0,11395597.0,25997905.0,0.3047480548893228
141,ARR,19_10,158414.0,620072.0,37551916.0,12015669.0,25536247.0,0.3199748582735432
142,ARR,19_11,277000.0,202772.0,37828916.0,12218441.0,25610475.0,0.3229920994828401
143,ARR,19_12,826889.0,937628.0,38655805.0,13156069.0,25499736.0,0.3403387667130461
144,ARR,20_01,455966.0,624645.0,39111771.0,13780714.0,25331057.0,0.3523418563685086
145,ARR,20_02,1659432.0,1409209.0,40771203.0,15189923.0,25581280.0,0.3725649939738104
146,ARR,20_03,2504733.0,628563.0,43275936.0,15818486.0,27457450.0,0.3655261436748589
147,ARR,20_04,1251368.0,611636.0,44527304.0,16430122.0,28097182.0,0.3689898225142937
148,ARR,20_05,347068.0,356824.0,44874372.0,16786946.0,28087426.0,0.3740875972592998
149,ARR,20_06,447402.0,609207.0,45321774.0,17396153.0,27925621.0,0.3838365417911488
150,ARR,20_07,2347676.0,617283.0,47669450.0,18013436.0,29656014.0,0.37788218659959366
151,ARR,20_08,389023.0,277297.0,48058473.0,18290733.0,29767740.0,0.38059330349509857
152,ARR,20_09,498022.0,260508.0,48556495.0,18551241.0,30005254.0,0.38205477969528073
153,ARR,20_10,2007765.0,1001121.0,50564260.0,19552362.0,31011898.0,0.38668344004243316
154,ARR,20_11,1475786.0,1514575.0,52040046.0,21066937.0,30973109.0,0.4048216444697224
155,ARR,20_12,1151020.0,1103204.0,53191066.0,22170141.0,31020925.0,0.41680196821022536
156,ARR,21_01,2098477.0,818214.0,55289543.0,22988355.0,32301188.0,0.4157812445655411
157,ARR,21_02,1347126.0,2277018.0,56636669.0,25265373.0,31371296.0,0.4460956734584797
158,ARR,21_03,1866844.0,906975.0,58503513.0,26172348.0,32331165.0,0.4473636993388756
159,ARR,21_04,1778637.0,792758.0,60282150.0,26965106.0,33317044.0,0.4473149348521909
160,ARR,21_05,3570394.0,1486737.0,63852544.0,28451843.0,35400701.0,0.445586678582454
161,ARR,21_06,3615220.0,1749824.0,67467764.0,30201667.0,37266097.0,0.44764588611533057
162,ARR,21_07,4316260.0,1079350.0,71784024.0,31281017.0,40503007.0,0.4357657213532638
163,ARR,21_08,554279.0,1364375.0,72338303.0,32645392.0,39692911.0,0.45128777765217964
164,ARR,21_09,1017012.0,1849131.0,73355315.0,34494523.0,38860792.0,0.4702389049791416
165,ARR,21_10,1610173.0,1033860.0,74965488.0,35528383.0,39437105.0,0.47392985689628275
166,ARR,21_11,2547287.0,1026412.0,77512775.0,36554795.0,40957980.0,0.47159703674652337
167,ARR,21_12,4830601.0,3215171.0,82343376.0,39769966.0,42573410.0,0.482977112815972
168,ARR,22_01,3923124.0,1068631.0,86266500.0,40838597.0,45427903.0,0.4734004161522723
169,ARR,22_02,1056453.0,1415093.0,87322953.0,42253690.0,45069263.0,0.48387839105715996
170,ARR,22_03,8600860.0,1515053.0,95923813.0,43768743.0,52155070.0,0.4562865218879487
171,ARR,22_04,3295583.0,425843.0,99219396.0,44194586.0,55024810.0,0.4454228485728738
172,ARR,22_05,2231004.0,1445611.0,101450400.0,45640197.0,55810203.0,0.4498769546497599
173,ARR,22_06,1628775.0,2591224.0,103079175.0,48231421.0,54847754.0,0.4679065485341729
174,ARR,22_07,701988.0,860273.0,103781163.0,49091694.0,54689469.0,0.47303087170067654
175,ARR,22_08,730687.0,888590.0,104511850.0,49980284.0,54531566.0,0.47822600020954564
176,ARR,22_09,1807367.0,549123.0,106319217.0,50529407.0,55789810.0,0.475261278494931
177,ARR,22_10,2133789.0,686730.0,108453006.0,51216137.0,57236869.0,0.47224266886618155
178,ARR,22_11,569235.0,1781149.0,109022241.0,52997286.0,56024955.0,0.4861144433822453
179,ARR,22_12,408391.0,2751966.0,109430632.0,55749252.0,53681380.0,0.50944832339084
180,ARR,23_01,851808.0,380890.0,110282440.0,56130142.0,54152298.0,0.5089671755539685
181,ARR,23_02,1257620.0,1932927.0,111540060.0,58063069.0,53476991.0,0.5205579860724479
182,ARR,23_03,1772579.0,700928.0,113312639.0,58763997.0,54548642.0,0.5186005508176365
183,ARR,n_nan,0.0,60000.0,113312639.0,58823997.0,54488642.0,0.5191300592690282
184,Avoided Def.,11_02,1151420.0,0.0,1151420.0,0.0,1151420.0,0.0
185,Avoided Def.,11_03,0.0,400.0,1151420.0,400.0,1151020.0,0.0003473971270257595
186,Avoided Def.,11_05,25000.0,122575.0,1176420.0,122975.0,1053445.0,0.10453324492953198
187,Avoided Def.,11_06,979073.0,221000.0,2155493.0,343975.0,1811518.0,0.15958066205735763
188,Avoided Def.,11_07,133808.0,167582.0,2289301.0,511557.0,1777744.0,0.22345554385377894
189,Avoided Def.,11_08,0.0,405.0,2289301.0,511962.0,1777339.0,0.22363245374898277
190,Avoided Def.,11_09,58461.0,0.0,2347762.0,511962.0,1835800.0,0.21806384122411046
191,Avoided Def.,11_11,0.0,6167.0,2347762.0,518129.0,1829633.0,0.2206905981100299
192,Avoided Def.,11_12,0.0,1542.0,2347762.0,519671.0,1828091.0,0.22134739381589785
193,Avoided Def.,12_01,0.0,8055.0,2347762.0,527726.0,1820036.0,0.22477832080083074
194,Avoided Def.,12_02,0.0,5300.0,2347762.0,533026.0,1814736.0,0.22703578982878161
195,Avoided Def.,12_03,0.0,2000.0,2347762.0,535026.0,1812736.0,0.22788766493366874
196,Avoided Def.,12_04,0.0,115008.0,2347762.0,650034.0,1697728.0,0.27687389096509785
197,Avoided Def.,12_05,0.0,130778.0,2347762.0,780812.0,1566950.0,0.3325771521985619
198,Avoided Def.,12_06,100000.0,5443.0,2447762.0,786255.0,1661507.0,0.3212138271613008
199,Avoided Def.,12_07,0.0,110237.0,2447762.0,896492.0,1551270.0,0.3662496598934047
200,Avoided Def.,12_08,0.0,2086.0,2447762.0,898578.0,1549184.0,0.36710186692987307
201,Avoided Def.,12_09,0.0,16765.0,2447762.0,915343.0,1532419.0,0.3739509805283357
202,Avoided Def.,12_10,4334.0,13718.0,2452096.0,929061.0,1523035.0,0.3788844319308869
203,Avoided Def.,12_11,2000.0,3485.0,2454096.0,932546.0,1521550.0,0.37999572958841055
204,Avoided Def.,12_12,2847553.0,455046.0,5301649.0,1387592.0,3914057.0,0.261728379226916
205,Avoided Def.,13_01,273517.0,16594.0,5575166.0,1404186.0,4170980.0,0.2518644287901024
206,Avoided Def.,13_02,1000.0,31861.0,5576166.0,1436047.0,4140119.0,0.257533043313273
207,Avoided Def.,13_03,1606.0,259073.0,5577772.0,1695120.0,3882652.0,0.3039062908989468
208,Avoided Def.,13_04,194541.0,212265.0,5772313.0,1907385.0,3864928.0,0.33043686300448366
209,Avoided Def.,13_05,0.0,18172.0,5772313.0,1925557.0,3846756.0,0.3335849944381048
210,Avoided Def.,13_06,505060.0,124068.0,6277373.0,2049625.0,4227748.0,0.3265099907238267
211,Avoided Def.,13_07,51000.0,29014.0,6328373.0,2078639.0,4249734.0,0.32846341389801137
212,Avoided Def.,13_08,230500.0,122158.0,6558873.0,2200797.0,4358076.0,0.3355449937817061
213,Avoided Def.,13_09,94020.0,11176.0,6652893.0,2211973.0,4440920.0,0.332482876246469
214,Avoided Def.,13_10,24671.0,128960.0,6677564.0,2340933.0,4336631.0,0.35056691332348144
215,Avoided Def.,13_11,770032.0,195165.0,7447596.0,2536098.0,4911498.0,0.34052572132000714
216,Avoided Def.,13_12,5163930.0,11892.0,12611526.0,2547990.0,10063536.0,0.20203661317432958
217,Avoided Def.,14_01,571369.0,1990583.0,13182895.0,4538573.0,8644322.0,0.3442774140277989
218,Avoided Def.,14_02,210106.0,515400.0,13393001.0,5053973.0,8339028.0,0.3773592639916924
219,Avoided Def.,14_03,1234236.0,298093.0,14627237.0,5352066.0,9275171.0,0.36589726412445495
220,Avoided Def.,14_04,513548.0,280107.0,15140785.0,5632173.0,9508612.0,0.37198685537110526
221,Avoided Def.,14_05,72276.0,44402.0,15213061.0,5676575.0,9536486.0,0.37313825271587353
222,Avoided Def.,14_06,1234883.0,1232748.0,16447944.0,6909323.0,9538621.0,0.42007213789152004
223,Avoided Def.,14_07,430713.0,142205.0,16878657.0,7051528.0,9827129.0,0.4177777888371095
224,Avoided Def.,14_08,63893.0,118117.0,16942550.0,7169645.0,9772905.0,0.42317390239367747
225,Avoided Def.,14_09,512149.0,32639.0,17454699.0,7202284.0,10252415.0,0.4126272243365526
226,Avoided Def.,14_10,436062.0,295616.0,17890761.0,7497900.0,10392861.0,0.41909340804452083
227,Avoided Def.,14_11,64575.0,50550.0,17955336.0,7548450.0,10406886.0,0.4204014895627684
228,Avoided Def.,14_12,192813.0,457349.0,18148149.0,8005799.0,10142350.0,0.44113584255892985
229,Avoided Def.,15_01,349394.0,385323.0,18497543.0,8391122.0,10106421.0,0.4536344097159282
230,Avoided Def.,15_02,865000.0,513611.0,19362543.0,8904733.0,10457810.0,0.45989480823877316
231,Avoided Def.,15_03,245978.0,1117410.0,19608521.0,10022143.0,9586378.0,0.5111116233600688
232,Avoided Def.,15_04,201234.0,196613.0,19809755.0,10218756.0,9590999.0,0.5158446432073491
233,Avoided Def.,15_05,128961.0,553900.0,19938716.0,10772656.0,9166060.0,0.5402883515668712
234,Avoided Def.,15_06,210258.0,51071.0,20148974.0,10823727.0,9325247.0,0.5371850199419583
235,Avoided Def.,15_07,537600.0,245876.0,20686574.0,11069603.0,9616971.0,0.535110502106342
236,Avoided Def.,15_08,573505.0,21984.0,21260079.0,11091587.0,10168492.0,0.5217095853688972
237,Avoided Def.,15_09,55000.0,51704.0,21315079.0,11143291.0,10171788.0,0.5227891015557578
238,Avoided Def.,15_10,919531.0,211902.0,22234610.0,11355193.0,10879417.0,0.5106989958447663
239,Avoided Def.,15_11,338384.0,302428.0,22572994.0,11657621.0,10915373.0,0.516441062271137
240,Avoided Def.,15_12,1023055.0,692490.0,23596049.0,12350111.0,11245938.0,0.5233974128465321
241,Avoided Def.,16_01,889542.0,856068.0,24485591.0,13206179.0,11279412.0,0.5393449151380499
242,Avoided Def.,16_02,486127.0,624510.0,24971718.0,13830689.0,11141029.0,0.5538541240935045
243,Avoided Def.,16_03,458205.0,934322.0,25429923.0,14765011.0,10664912.0,0.5806156393002055
244,Avoided Def.,16_04,844706.0,119682.0,26274629.0,14884693.0,11389936.0,0.5665044024027894
245,Avoided Def.,16_05,75100.0,77514.0,26349729.0,14962207.0,11387522.0,0.5678315325368242
246,Avoided Def.,16_06,150283.0,229595.0,26500012.0,15191802.0,11308210.0,0.5732752875734547
247,Avoided Def.,16_07,546407.0,644366.0,27046419.0,15836168.0,11210251.0,0.585518105003106
248,Avoided Def.,16_08,179744.0,25461.0,27226163.0,15861629.0,11364534.0,0.5825877484094986
249,Avoided Def.,16_09,172754.0,224873.0,27398917.0,16086502.0,11312415.0,0.587121819450017
250,Avoided Def.,16_10,664948.0,543280.0,28063865.0,16629782.0,11434083.0,0.5925691988612403
251,Avoided Def.,16_11,413897.0,76017.0,28477762.0,16705799.0,11771963.0,0.5866261190047167
252,Avoided Def.,16_12,1275353.0,467915.0,29753115.0,17173714.0,12579401.0,0.5772072604834821
253,Avoided Def.,17_01,1450870.0,914458.0,31203985.0,18088172.0,13115813.0,0.5796750639381476
254,Avoided Def.,17_02,509044.0,421013.0,31713029.0,18509185.0,13203844.0,0.5836460780835536
255,Avoided Def.,17_03,369570.0,709207.0,32082599.0,19218392.0,12864207.0,0.5990285263360365
256,Avoided Def.,17_04,2537128.0,235392.0,34619727.0,19453784.0,15165943.0,0.5619277124860055
257,Avoided Def.,17_05,131817.0,197407.0,34751544.0,19651191.0,15100353.0,0.5654767742118163
258,Avoided Def.,17_06,169470.0,400868.0,34921014.0,20052059.0,14868955.0,0.5742118198515084
259,Avoided Def.,17_07,88160.0,174619.0,35009174.0,20226678.0,14782496.0,0.5777536482294612
260,Avoided Def.,17_08,1212632.0,846034.0,36221806.0,21072712.0,15149094.0,0.5817686727160981
261,Avoided Def.,17_09,3324014.0,107515.0,39545820.0,21180227.0,18365593.0,0.5355869975638387
262,Avoided Def.,17_10,7785486.0,817283.0,47331306.0,21997510.0,25333796.0,0.46475603271965493
263,Avoided Def.,17_11,341560.0,275727.0,47672866.0,22273237.0,25399629.0,0.46720994286351486
264,Avoided Def.,17_12,5765232.0,3888712.0,53438098.0,26161949.0,27276149.0,0.4895748535062008
265,Avoided Def.,18_01,5249535.0,1860126.0,58687633.0,28022075.0,30665558.0,0.47747836413848893
266,Avoided Def.,18_02,1370690.0,2659383.0,60058323.0,30681458.0,29376865.0,0.5108610508488557
267,Avoided Def.,18_03,922265.0,1409040.0,60980588.0,32090498.0,28890090.0,0.5262412031842002
268,Avoided Def.,18_04,1227434.0,1109447.0,62208022.0,33199945.0,29008077.0,0.5336923427656967
269,Avoided Def.,18_05,2078496.0,1155448.0,64286518.0,34355393.0,29931125.0,0.5344105431250764
270,Avoided Def.,18_06,1460321.0,1058318.0,65746839.0,35413711.0,30333128.0,0.5386374697040568
271,Avoided Def.,18_07,1333099.0,680715.0,67079938.0,36094426.0,30985512.0,0.5380807895201096
272,Avoided Def.,18_08,1191011.0,1271511.0,68270949.0,37365937.0,30905012.0,0.5473182597769367
273,Avoided Def.,18_09,1031728.0,1538578.0,69302677.0,38904515.0,30398162.0,0.5613710275578532
274,Avoided Def.,18_10,1794524.0,988926.0,71097201.0,39893441.0,31203760.0,0.5611112735647639
275,Avoided Def.,18_11,1027232.0,1003014.0,72124433.0,40896455.0,31227978.0,0.5670263640062169
276,Avoided Def.,18_12,1263150.0,1064986.0,73387583.0,41961441.0,31426142.0,0.5717784846518246
277,Avoided Def.,19_01,10486738.0,765552.0,83874321.0,42726993.0,41147328.0,0.5094168571570314
278,Avoided Def.,19_02,1467132.0,957202.0,85341453.0,43684195.0,41657258.0,0.5118754540070931
279,Avoided Def.,19_03,471259.0,724921.0,85812712.0,44409116.0,41403596.0,0.5175120907494452
280,Avoided Def.,19_04,1412132.0,1031699.0,87224844.0,45440815.0,41784029.0,0.5209618374324636
281,Avoided Def.,19_05,6527717.0,5767484.0,93752561.0,51208299.0,42544262.0,0.5462069350830854
282,Avoided Def.,19_06,2628423.0,541044.0,96380984.0,51749343.0,44631641.0,0.536924825336915
283,Avoided Def.,19_07,10042477.0,453165.0,106423461.0,52202508.0,54220953.0,0.4905169171297671
284,Avoided Def.,19_08,2194242.0,670537.0,108617703.0,52873045.0,55744658.0,0.4867811004988754
285,Avoided Def.,19_09,2561268.0,1822417.0,111178971.0,54695462.0,56483509.0,0.4919586996357432
286,Avoided Def.,19_10,2113607.0,685690.0,113292578.0,55381152.0,57911426.0,0.4888330107555678
287,Avoided Def.,19_11,5156557.0,1076638.0,118449135.0,56457790.0,61991345.0,0.4766416403125274
288,Avoided Def.,19_12,10391630.0,2402703.0,128840765.0,58860493.0,69980272.0,0.45684681397227034
289,Avoided Def.,20_01,2283430.0,1665982.0,131124195.0,60526475.0,70597720.0,0.4615965421179516
290,Avoided Def.,20_02,5421676.0,2655618.0,136545871.0,63182093.0,73363778.0,0.4627169795562694
